Days from today ,date ,DSCI 524 milestone 1,DSCI 524 milestone 2,DSCI 524 milestone 3,DSCI 524 milestone 4,DSCI 524 toy packages,DSCI 524 peer review,DSCI 553 lab 1,DSCI 553 lab 2,DSCI 553 lab 3,DSCI 553 lab 4,DSCI 553 quiz 1,DSCI 553 quiz 2,DSCI 563 lab 1,DSCI 563 lab 2,DSCI 563 lab 3,DSCI 563 lab 4,DSCI 563 quiz 1,DSCI 563 quiz 2,DSCI 574 lab 1,DSCI 574 lab 2,DSCI 574 lab 3,DSCI 574 lab 4,DSCI 574 quiz 1,DSCI 574 quiz 2
-34,"Monday, February 24, 2020",In progress,To do,To do,To do,To do,To do,To do,To do,To do,To do,To do,To do,In progress,To do,To do,To do,To do,To do,To do,To do,To do,To do,To do,To do
-33,"Tuesday, February 25, 2020",In progress,To do,To do,To do,To do,To do,To do,To do,To do,To do,To do,To do,Done,To do,To do,To do,To do,To do,In progress,To do,To do,To do,To do,To do
-32,"Wednesday, February 26, 2020",In progress,To do,To do,To do,In progress,To do,In progress,To do,To do,To do,To do,To do,Done,To do,To do,To do,To do,To do,In progress,To do,To do,To do,To do,To do
-31,"Thursday, February 27, 2020",In progress,To do,To do,To do,Done,To do,In progress,To do,To do,To do,To do,To do,Done,To do,To do,To do,To do,To do,In progress,To do,To do,To do,To do,To do
-30,"Friday, February 28, 2020",In progress,To do,To do,To do,Done,To do,In progress,To do,To do,To do,To do,To do,Done,To do,To do,To do,To do,To do,Done,To do,To do,To do,To do,To do
-29,"Saturday, February 29, 2020",Done,To do,To do,To do,Done,To do,Done,To do,To do,To do,To do,To do,Done,To do,To do,To do,To do,To do,Done,To do,To do,To do,To do,To do
-28,"Sunday, March 1, 2020",Done,To do,To do,To do,Done,To do,Done,To do,To do,To do,To do,To do,Done,In progress,To do,To do,To do,To do,Done,To do,To do,To do,To do,To do
-27,"Monday, March 2, 2020",Done,In progress,To do,To do,Done,To do,Done,To do,To do,To do,To do,To do,Done,In progress,To do,To do,To do,To do,Done,To do,To do,To do,To do,To do
-26,"Tuesday, March 3, 2020",Done,In progress,To do,To do,Done,To do,Done,To do,To do,To do,To do,To do,Done,In progress,To do,To do,To do,To do,Done,To do,To do,To do,To do,To do
-25,"Wednesday, March 4, 2020",Done,In progress,To do,To do,Done,To do,Done,In progress,To do,To do,To do,To do,Done,In progress,To do,To do,To do,To do,Done,To do,To do,To do,To do,To do
-24,"Thursday, March 5, 2020",Done,In progress,To do,To do,Done,To do,Done,In progress,To do,To do,To do,To do,Done,In progress,To do,To do,To do,To do,Done,In progress,To do,To do,To do,To do
-23,"Friday, March 6, 2020",Done,In progress,To do,To do,Done,To do,Done,Done,To do,To do,To do,To do,Done,In progress,To do,To do,To do,To do,Done,In progress,To do,To do,To do,To do
-22,"Saturday, March 7, 2020",Done,Done,To do,To do,Done,To do,Done,Done,To do,To do,To do,To do,Done,Done,To do,To do,To do,To do,Done,Done,To do,To do,To do,To do
-21,"Sunday, March 8, 2020",Done,Done,To do,To do,Done,To do,Done,Done,To do,To do,To do,To do,Done,Done,To do,To do,To do,To do,Done,Done,To do,To do,To do,To do
-20,"Monday, March 9, 2020",Done,Done,In progress,To do,Done,To do,Done,Done,To do,To do,To do,To do,Done,Done,To do,To do,Done,To do,Done,Done,To do,To do,To do,To do
